epoch,batch,train_loss,train_accuracy
2.0,149.0,1.1178638,0.75
2.0,150.0,1.2686415,0.78125
2.0,151.0,1.2667818,0.75
2.0,152.0,1.0464512,0.875
2.0,153.0,1.5932193,0.65625
2.0,154.0,1.0873635,0.8125
2.0,155.0,0.94203556,0.875
2.0,156.0,1.4823357,0.65625
2.0,157.0,1.3160083,0.65625
2.0,158.0,1.026076,0.75
2.0,159.0,1.2561141,0.78125
2.0,160.0,1.2814841,0.6875
2.0,161.0,1.2653815,0.625
2.0,162.0,1.2140685,0.75
2.0,163.0,1.3709748,0.625
2.0,164.0,1.0769061,0.84375
2.0,165.0,1.3443373,0.65625
2.0,166.0,1.5481838,0.625
2.0,167.0,1.0562797,0.6875
2.0,168.0,1.0105369,0.84375
2.0,169.0,1.050769,0.8125
2.0,170.0,1.2569159,0.75
2.0,171.0,1.1314225,0.6875
2.0,172.0,1.133974,0.75
2.0,173.0,1.1675367,0.8125
2.0,174.0,1.4706458,0.59375
2.0,175.0,1.2241062,0.75
2.0,176.0,1.4210815,0.625
2.0,177.0,1.1534619,0.71875
2.0,178.0,1.0858535,0.71875
2.0,179.0,1.3872782,0.625
2.0,180.0,1.1535797,0.71875
2.0,181.0,1.116043,0.78125
2.0,182.0,1.0856459,0.71875
2.0,183.0,1.2178696,0.75
2.0,184.0,1.451168,0.5625
2.0,185.0,1.356806,0.625
2.0,186.0,1.328943,0.625
2.0,187.0,1.2638497,0.71875
2.0,188.0,1.4150586,0.625
2.0,189.0,1.0406506,0.78125
2.0,190.0,1.1713634,0.75
2.0,191.0,1.2845511,0.5625
2.0,192.0,1.1459632,0.75
2.0,193.0,1.2117887,0.78125
2.0,194.0,1.1297336,0.71875
2.0,195.0,0.87802976,0.90625
2.0,196.0,1.4909643,0.6875
2.0,197.0,1.3970183,0.6875
2.0,198.0,0.77406734,0.875
2.0,199.0,1.1378335,0.65625
2.0,200.0,1.1470801,0.71875
2.0,201.0,1.3639874,0.6875
2.0,202.0,1.2649726,0.625
2.0,203.0,1.2190452,0.65625
2.0,204.0,1.1693913,0.6875
2.0,205.0,1.1010225,0.75
2.0,206.0,0.97692513,0.78125
2.0,207.0,1.2751039,0.625
2.0,208.0,1.3284284,0.6875
2.0,209.0,0.89427376,0.875
2.0,210.0,0.99499273,0.71875
2.0,211.0,0.9988047,0.75
2.0,212.0,1.0745642,0.75
2.0,213.0,0.96827173,0.6875
2.0,214.0,0.7544929,0.875
2.0,215.0,1.1982905,0.71875
2.0,216.0,0.96615034,0.78125
2.0,217.0,1.5358365,0.625
2.0,218.0,1.0505509,0.78125
2.0,219.0,1.0811378,0.8125
2.0,220.0,1.2540929,0.71875
2.0,221.0,0.918488,0.71875
2.0,222.0,1.1454725,0.65625
2.0,223.0,1.0546218,0.84375
2.0,224.0,1.0943513,0.75
2.0,225.0,1.0915521,0.71875
2.0,226.0,1.453356,0.65625
2.0,227.0,1.3375363,0.6875
2.0,228.0,1.0583754,0.75
2.0,229.0,1.1583128,0.75
2.0,230.0,1.2491262,0.6875
2.0,231.0,1.0702548,0.71875
2.0,232.0,0.8022488,0.8125
2.0,233.0,1.2085608,0.65625
2.0,234.0,1.168628,0.75
2.0,235.0,0.9516862,0.84375
2.0,236.0,1.2447147,0.59375
2.0,237.0,0.9782447,0.84375
2.0,238.0,1.2912418,0.59375
2.0,239.0,1.0412674,0.75
2.0,240.0,1.047665,0.75
2.0,241.0,1.212282,0.6875
2.0,242.0,1.2482338,0.59375
2.0,243.0,1.1683018,0.6875
2.0,244.0,1.2833666,0.625
2.0,245.0,1.0192548,0.71875
2.0,246.0,0.88347566,0.78125
2.0,247.0,1.3299712,0.625
2.0,248.0,0.8823505,0.8125
2.0,249.0,0.67599726,0.84375
2.0,250.0,1.0629551,0.71875
2.0,251.0,1.0719575,0.71875
2.0,252.0,0.7881758,0.75
2.0,253.0,1.2808726,0.59375
2.0,254.0,1.1855701,0.71875
2.0,255.0,1.0810437,0.6875
2.0,256.0,1.2792965,0.71875
2.0,257.0,0.7215981,0.84375
2.0,258.0,1.1075926,0.6875
2.0,259.0,1.0628896,0.71875
2.0,260.0,0.8499514,0.75
2.0,261.0,1.2338452,0.71875
2.0,262.0,1.1800294,0.65625
2.0,263.0,0.94272757,0.75
2.0,264.0,1.3247101,0.71875
2.0,265.0,0.7598992,0.84375
2.0,266.0,1.0938085,0.8125
2.0,267.0,1.2299222,0.625
2.0,268.0,1.3362578,0.65625
2.0,269.0,0.936257,0.71875
2.0,270.0,0.9993692,0.78125
2.0,271.0,1.0444124,0.6875
2.0,272.0,0.9234831,0.84375
2.0,273.0,0.9856312,0.75
2.0,274.0,0.8691214,0.782608695652174
3.0,275.0,1.0703934,0.6875
3.0,276.0,1.0323064,0.75
3.0,277.0,0.86703485,0.71875
3.0,278.0,0.9700239,0.78125
3.0,279.0,0.7603012,0.8125
3.0,280.0,1.0505917,0.6875
3.0,281.0,1.2364738,0.71875
3.0,282.0,0.9870659,0.8125
3.0,283.0,0.81929415,0.78125
3.0,284.0,1.0769562,0.71875
3.0,285.0,0.73650104,0.75
3.0,286.0,0.9147551,0.8125
3.0,287.0,1.1011437,0.71875
3.0,288.0,0.705655,0.84375
3.0,289.0,1.0883261,0.6875
3.0,290.0,0.9545912,0.75
3.0,291.0,0.73606324,0.90625
3.0,292.0,0.97421694,0.75
3.0,293.0,1.1353914,0.65625
3.0,294.0,0.9688753,0.78125
3.0,295.0,0.9380811,0.71875
3.0,296.0,1.0178801,0.71875
3.0,297.0,1.0406684,0.6875
3.0,298.0,0.9493217,0.6875
3.0,299.0,1.0515609,0.75
3.0,300.0,0.9318802,0.8125
3.0,301.0,0.90811396,0.71875
3.0,302.0,0.6984074,0.90625
3.0,303.0,0.9643748,0.71875
3.0,304.0,1.0409875,0.6875
3.0,305.0,0.6247923,0.90625
3.0,306.0,0.9142973,0.71875
3.0,307.0,1.0117046,0.8125
3.0,308.0,0.8149354,0.8125
